number,loss,texel_scale,error_count
484,0.8527256853959054,1131.7634141707817,0
485,0.8530229087176832,1129.1359526452688,0
486,0.8395149319492525,1198.8548129746146,0
487,0.8555210570146823,1113.626033194179,0
488,0.8613360265611912,1083.7075540557526,0
489,0.8581235686187616,1097.4697163584792,0
490,0.8909664475411812,949.927869710054,0
491,0.8500962076156876,1135.3708863827246,0
492,0.8577515911597046,1111.3250889057947,0
493,0.8547466961674652,1120.7335082483205,0
494,0.8465274228642637,1162.6645540921622,0
495,0.8603936941786187,1075.1996017702613,0
496,0.8637307761653935,1063.2507731921376,0
497,0.8456996391452968,1160.3228799772824,0
498,0.8432589844510222,1179.0619568921702,0
499,0.8592880258117357,1092.1018203781787,0
500,0.851271052638434,1138.6073980441436,0
501,0.8529305111940061,1114.81181283031,0
502,0.8418021312846838,1196.6252962478275,0
503,0.8391758437971414,1199.5332081604392,0
504,0.8685045506828603,1037.632615620249,0
505,0.8597518225456837,1065.9919418346985,0
506,0.8534891022772202,1116.9431964012726,0
507,0.8625240371465736,1078.3967567603027,0
508,0.8457727652161134,1164.675397956601,0
509,0.8723163140632436,1039.3272990464934,0
510,0.8474701442027968,1155.1667004122578,0
511,0.8757249003338623,1023.5362597321694,0
512,0.8482880166194333,1143.7030750980298,0
513,0.8527123907200288,1124.1524386421734,0
514,0.8391918262893602,1188.4732099903817,0
515,0.8657385418810626,1056.6905436470288,0
516,0.8491504362426332,1146.4161149658798,0
517,0.8418251257693223,1190.0671937639497,0
518,0.8727557390262143,1028.9625964913344,0
519,0.840931942713882,1193.1513286260451,0
520,0.8554745826580075,1118.67495583859,0
521,0.8405881967400035,1183.0205319971487,0
522,0.8524349211702494,1129.806558455423,0
523,0.8470640638379261,1155.4111868826458,0
524,0.8462706443440332,1162.467959001295,0
525,0.8547695887686518,1107.5612362672239,0
526,0.8406429464194314,1194.6228525054094,0
527,0.8434741599568937,1169.6579312745703,0
528,0.8555660119274715,1115.3433267859923,0
529,0.8456847066238333,1153.3353237896067,0
530,0.837186817283087,1188.8160601704676,0
531,0.8565133075513499,1093.7332871152369,0
532,0.850454096221136,1134.4431829220102,0
533,0.8592992865146754,1088.2275581411975,0
534,0.8534299079462109,1117.2222762015647,0
535,0.8472891008743284,1151.0915828934194,0
536,0.8437632474955579,1177.2962509635472,0
537,0.8455209266748199,1154.111769136824,0
538,0.8509332536523875,1123.7460546012496,0
539,0.8494297843025473,1127.2608886080218,0
540,0.8408007207398808,1181.6898772966993,0
541,0.8460188005857221,1153.3253059839737,0
542,0.8443644899538454,1153.6970123809965,0
543,0.8470522530476519,1149.7426313712958,0
544,0.8517485650606949,1110.4894130093198,0
545,0.8394553831079727,1196.4163685401932,0
546,0.8524509379158218,1116.1512654717562,0
547,0.8405422793434186,1187.0365035317723,0
548,0.8507378069860835,1117.4447315777804,0
549,0.8402541913656482,1171.3957986153039,0
550,0.8398736121115349,1186.069286698781,0
551,0.8533253766903147,1107.80334083944,0
552,0.855544746954823,1095.8164856275394,0
553,0.8473336277727649,1173.62712738802,0
554,0.8592522310614927,1088.0392913321748,0
555,0.8427036827409162,1175.206806774262,0
556,0.8525871712216051,1119.6673805129353,0
557,0.8421561835328846,1180.6573147301992,0
558,0.8515886256611714,1121.601500972998,0
559,0.8531135793983718,1118.0215720343008,0
560,0.8396302129851126,1189.57972390559,0
561,0.8477150731035837,1149.1183583573588,0
562,0.8480450642820848,1153.786732635252,0
563,0.8439181285137529,1163.6800739166283,0
564,0.8492926739498668,1143.4492969415096,0
569,0.8469269205250254,1047.1177284650098,0
570,0.8228763113639731,1199.644641018745,0
571,0.8266934182737524,1184.5624337187562,0
572,0.8223772256989373,1195.5045750091672,0
573,0.835097565758215,1124.6138987879888,0
574,0.8279673176731496,1169.7197697016773,0
575,0.8407142044771169,1087.8288935891892,0
576,0.8428826247534336,1074.8713779559343,0
577,0.8239858220133247,1192.6573229716948,0
578,0.8380018605107236,1110.7693728044683,0
579,0.826577272403687,1179.2535893242039,0
580,0.8278191415521112,1178.0598656000484,0
581,0.839068576834653,1104.489625027361,0
582,0.8277395578528968,1170.8121113670213,0
583,0.8297832502621892,1144.243114531669,0
584,0.823005938146783,1190.977122862333,0
585,0.8286730858939872,1161.9552042916944,0
586,0.8266801619995847,1179.0247268957942,0
